gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
PCGF6,ENSG00000156374,84108,Q9BYE7,RING,RING,15.8767,25.8,Terminal effector memory CD4 T-cell,T-cells,0.7282,0.3979,1.0883,1.3746
ASB8,ENSG00000177981,140461,Q9H765,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),122.7367,178.7,basophil,granulocytes,0.5645,0.324,0.2641,1.3695
TULP4,ENSG00000130338,56995,Q9NRJ4,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),17.6133,28.3,plasmacytoid DC,dendritic cells,0.7114,0.3906,1.1634,1.3541
PCGF5,ENSG00000180628,84333,Q86SE9,RING,RING,33.2167,51.1,Central memory CD8 T-cell,T-cells,0.6469,0.362,0.6351,1.3356
UNKL,ENSG00000059145,64718,Q9H9P5,RING,RING,8.68,14.7,basophil,granulocytes,0.7878,0.4236,0.4637,1.3259
TRIM26,ENSG00000234127,7726,Q12899,RING,RING,12.9633,21.2,Plasmablast,B-cells,0.737,0.4019,0.4078,1.3249
GTF2H2C,ENSG00000183474,728340,Q6P1K8,RING,RING,5.6167,9.9,neutrophil,granulocytes,0.8445,0.4476,0.4485,1.3026
IRF2BP1,ENSG00000170604,26145,Q8IU81,RING,RING,1.59,3.4,Vd2 gdTCR,T-cells,1.1046,0.5507,0.4759,1.3003
SHPRH,ENSG00000146414,257218,Q149N8,RING,RING,15.7133,25.2,naive CD8 T-cell,T-cells,0.7082,0.3894,0.8372,1.2993
KLHL38,ENSG00000175946,340359,Q2WGJ6,CRL3,CRL3 substrate receptor (BTB protein),0.47,1.4,classical monocyte,monocytes,1.4795,0.6872,0.6551,1.2841
UBR1,ENSG00000159459,197131,Q8IWV7,RING,RING,44.2067,66.2,naive B-cell,B-cells,0.6064,0.3437,0.366,1.2651
WDR12,ENSG00000138442,55759,Q9GZL7,CRL4,CRL4 substrate receptor (DDB1-binding protein),5.4767,9.6,Plasmablast,B-cells,0.8358,0.4443,0.3917,1.2649
TRAF2,ENSG00000127191,7186,Q12933,RING,RING,42.67,64.0,Plasmablast,B-cells,0.6088,0.3448,0.5386,1.264
KLHL24,ENSG00000114796,54800,Q6TFL4,CRL3,CRL3 substrate receptor (BTB protein),87.0033,126.2,neutrophil,granulocytes,0.5586,0.3213,0.3793,1.2548
RNF181,ENSG00000168894,51255,Q9P0P0,RING,RING,47.0467,70.1,Plasmablast,B-cells,0.5988,0.3402,0.236,1.2533
ASB4,ENSG00000005981,51666,Q9Y574,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",1.5133,3.2,Non-switched memory B-cell,B-cells,1.0854,0.5453,0.5645,1.2253
ZNF598,ENSG00000167962,90850,Q86UK7,RING,RING,0.33,1.1,Terminal effector memory CD8 T-cell,T-cells,1.5726,0.7241,0.9511,1.2189
BTBD1,ENSG00000064726,53339,Q9H0C5,CRL3,CRL3 substrate receptor (BTB protein),30.2933,45.9,Plasmablast,B-cells,0.6237,0.3517,0.3342,1.2178
KLHL20,ENSG00000076321,27252,Q9Y2M5,CRL3,CRL3 substrate receptor (BTB protein),27.7967,42.3,naive CD8 T-cell,T-cells,0.6301,0.3547,0.5726,1.2149
DCAF16,ENSG00000163257,54876,Q9NXF7,CRL4,CRL4 substrate receptor (DDB1-binding protein),13.8833,22.1,Progenitor cell,Progenitors,0.6964,0.3846,0.4868,1.2133
UNK,ENSG00000132478,85451,Q9C0B0,RING,RING,4.5267,8.0,neutrophil,granulocytes,0.8458,0.4491,0.3329,1.2042
TRIM17,ENSG00000162931,51127,Q9Y577,RING,RING,0.77,1.9,NK-cell,NK-cells,1.267,0.6152,0.7222,1.1974
UBE3A,ENSG00000114062,7337,Q05086,HECT,HECT E3 ligase,98.4067,140.7,Plasmablast,B-cells,0.5369,0.311,0.5864,1.1931
UBOX5,ENSG00000185019,22888,O94941,RING,"RING, degenerate RING (U-box)",16.7633,26.2,basophil,granulocytes,0.6693,0.3726,0.3026,1.1884
FEM1B,ENSG00000169018,10116,Q9UK73,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",43.0767,63.5,Terminal effector memory CD4 T-cell,T-cells,0.5825,0.3327,0.4196,1.165
FBXW10B,ENSG00000241322,374286,O95170,CRL1,CRL1 substrate receptor (F-box protein),1.13,2.5,Memory CD4 T-cell Th1,T-cells,1.1364,0.5669,0.7313,1.1643
KLHL26,ENSG00000167487,55295,Q53HC5,CRL3,CRL3 substrate receptor (BTB protein),9.63,15.6,Terminal effector memory CD4 T-cell,T-cells,0.7211,0.3959,0.3119,1.1571
RNF7,ENSG00000114125,9616,Q9UBF6,degenerate RING,Degenerate RING,85.1667,121.6,Terminal effector memory CD8 T-cell,T-cells,0.5347,0.3099,0.3009,1.1498
FZR1,ENSG00000105325,51343,Q9UM11,APC/C,APC substrate receptor,12.3633,19.6,neutrophil,granulocytes,0.6897,0.3819,0.343,1.1497
